;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_7_4_C;1;1269.1069143561;1890.96940319787;0.0791506245522784;0.994976662904548;19.0989999973681;"FM";"1";0;0;0;0;0;28.8774000000558;"FM";"1";0;0;0;0;0;0;143.306099998881;"Scratch_PD";"1";0;0;0;0;0;0;201.087699999334
HE_5_3_C;1;1282.5600078547;1895.37855300044;0.21434081026105;0.99426421615766;42.4476000007417;"FM";"1";0;0;0;0;0;27.8156000022136;"FM";"1";3;0;0;[12.1852369693823, 13.7637204272682, 11.3137084989848];[81.92, 122.88, 81.92];286.72;85.628099997848;"Scratch_PD";"1";0;0;0;0;0;0;83.1804999979795
HE_6_4_C;1;1284.83206644557;1880.51195941355;0.137378674367419;0.996017132823795;31.9481000005908;"FM";"1";0;0;0;0;0;24.9943999988318;"FM";"1";2;0;0;[9.32952303175248, 9.32952303175248];[51.2, 51.2];102.4;135.388700000476;"Scratch_PD";"1";0;0;0;0;0;0;70.4360000017914
HE_5_4_C;1;1268.50706981534;1888.2301005339;0.128090750459162;0.992748585905758;38.838600001327;"FM";"1";0;0;0;0;0;26.5519999993558;"FM";"1";2;0;0;[15.8391918985787, 9.32952303175248];[153.6, 61.44];215.04;78.4903999992821;"Scratch_PD";"1";0;0;0;0;0;0;132.63519999964
HE_6_3_C;1;1295.80194536586;1887.71334051108;0.154747451948164;0.99611067654638;25.8044000001973;"FM";"1";1;0;10.733126291999;66.56;66.56;17.3243999997794;"FM";"1";2;0;0;[10.733126291999, 9.32952303175248];[66.56, 51.2];117.76;169.01240000152;"Scratch_PD";"1";0;0;0;0;0;0;85.4685000012978
HE_4_3_C;1;1301.97856557052;1883.67142934952;0.179495330375737;0.996122230795436;31.1001999980363;"FM";"1";0;0;0;0;0;71.6680000004999;"FM";"1";1;0;0;13.7637204272682;122.88;122.88;107.077199998457;"Scratch_PD";"1";0;0;0;0;0;0;189.455200001248
HE_3_4_C;1;1275.61416044484;1884.99834363716;0.0407247870430302;0.994740616776937;20.8241000000271;"FM";"1";0;0;0;0;0;14.5125000017288;"FM";"1";2;0;0;[11.3137084989848, 11.3137084989848];[81.92, 81.92];163.84;145.91510000173;"Scratch_PD";"1";0;0;0;0;0;0;151.800899999216
HE_3_3_C;1;1285.56787107144;1894.06730329762;0.17441002481037;0.996138876747466;19.1828000024543;"FM";"1";0;0;0;0;0;30.6360999966273;"FM";"1";2;0;0;[9.32952303175248, 9.32952303175248];[51.2, 71.68];122.88;109.877599999891;"Scratch_PD";"1";0;0;0;0;0;0;119.780000000901
HE_1_4_C;1;1274.76684060725;1887.09120973854;0.148878244214468;0.995818425851326;27.8560999977344;"FM";"1";1;0;5.76888204074238;33.28;33.28;90.5705999975908;"FM";"1";2;0;0;[5.76888204074238, 11.3137084989848];[33.28, 81.92];115.2;212.122599998111;"Scratch_PD";"1";0;0;0;0;0;0;210.108499999478
HE_2_3_C;1;1298.67852280203;1886.45186934505;0.211540334436141;0.99629756815682;31.3664999994216;"FM";"1";0;0;0;0;0;14.6055999975943;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;121.663999998418;"Scratch_PD";"1";0;0;0;0;0;0;105.060300000332
