;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copper_area(um);8. *Copper_max_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_15_3_C1;1;1301.11044247441;1911.74470571058;-0.171847944062383;0.857686642862433;30.7563999995182;"1";0;1425.68867525853;1914.29704522546;0.229357443183502;5.1360246896433;3.47868863178532;72.1259999991162;"1";0;[];[];[];[];7.57149999844842;["1", "1"];[0, 0];0;0;0;2.4;116.347300001507;"1";0;[];[];[];[];[];[];19.6199000019988;"1";0;[];[];[];[];[];1.78869999945164
HE_18_3_C1;1;1308.07773669127;1888.62724937172;-0.0830266662552567;0.835275018143079;84.8598000011407;"1";0;1434.26754896409;1896.1019197586;0.249320475000695;5.14598875248913;3.47913373096527;68.0765999968571;"1";0;[];[];[];[];13.4508999981335;["1", "1"];[0, 0];0;0;2.4;0;93.6852000013459;"1";0;[];[];[];[];[];[];17.7724999994098;"1";0;[];[];[];[];[];2.19479999941541
HE_16_4_C1;1;1292.2257493984;1890.09182638096;-0.105480930882541;0.758860770846269;41.4602999990166;"1";0;1423.18417064602;1891.02028136509;0.169924261877605;5.13915547674691;3.48494589932464;74.4144999989658;"1";0;[];[];[];[];3.93959999928484;["1", "1"];[0, 0];0;0;0;0;82.4508999976388;"1";0;[];[];[];[];[];[];36.1746000016865;"1";0;[];[];[];[];[];3.14389999766718
HE_16_3_C1;1;1315.2122303432;1898.05886097828;-0.154734523012852;0.823362095162821;57.5277999996615;"1";0;1439.77656617492;1903.33431416063;0.225725146130677;5.13827489563989;3.47990327220665;74.7369000018807;"1";0;[];[];[];[];3.72430000061286;["1", "1"];[0, 0];0;0;0.8;0;57.3184000022593;"1";0;[];[];[];[];[];[];29.0291999990586;"1";0;[];[];[];[];[];6.04290000046603
HE_14_4_C1;1;1298.51696936446;1889.6810638483;-0.0829376936930986;0.699006107976601;59.3582000001334;"1";0;1426.14636414618;1892.76014310179;0.183953702294001;5.13228879350605;3.48306070887279;68.9438000008522;"1";0;[];[];[];[];5.09700000111479;["1", "1"];[0, 0];0;0;0;0;64.5115000006626;"1";0;[];[];[];[];[];[];41.1433000008401;"1";0;[];[];[];[];[];2.73319999905652
HE_13_3_C1;1;1296.0863592925;1918.9035210012;-0.187450087754562;0.82385987222483;25.5710999990697;"1";0;1423.26579411679;1916.87194934741;0.210098833168377;5.14049935608866;3.47919807306252;105.239799999254;"1";0;[];[];[];[];10.595599997032;["1", "1"];[0, 0];0;0;2.4;0.8;54.3322000012267;"1";0;[];[];[];[];[];[];24.6145000019169;"1";0;[];[];[];[];[];2.24470000102883
HE_15_4_C1;1;1283.25085021427;1902.27540157117;-0.0775557024262409;0.746291392495721;44.6570000021893;"1";0;1411.72462426965;1901.10887469066;0.238974270041941;5.13539207035158;3.48343952037362;95.9371999997529;"1";0;[];[];[];[];12.7226000004157;["1", "1"];[0, 0];0;0;2.4;0;51.4278000009654;"1";0;[];[];[];[];[];[];25.2555999977631;"1";0;[];[];[];[];[];3.26119999954244
HE_11_3_C1;1;1297.00613939362;1906.76623055409;-0.238971188836972;0.802247663976459;44.7051000010106;"1";0;1420.86494421316;1910.94640572312;0.226227709699344;5.13704698006996;3.48016013057695;153.382299999066;"1";0;[];[];[];[];4.85960000150953;["1", "1"];[0, 0];0;0;4;0;65.7247000017378;"1";0;[];[];[];[];[];[];35.2125999997952;"1";0;[];[];[];[];[];10.0324000013643
HE_13_4_C1;1;1285.23519578001;1904.17120808431;-0.0910157865509957;0.729944907208136;32.185699998081;"1";0;1412.9655567888;1905.4962051987;0.198102273722418;5.140442919467;3.47884430635974;115.358999999444;"1";0;[];[];[];[];9.08600000184379;["1", "1"];[0, 0];0;0;4;0;67.6296999990882;"1";0;[];[];[];[];[];[];44.4170000009763;"1";0;[];[];[];[];[];1.799800000299
HE_14_3_C1;1;1310.98875551222;1903.0805392658;-0.0886614374002155;0.825125303900819;32.1986000017205;"1";0;1437.88336683594;1904.56976465934;0.19644239115795;5.1342386836319;3.47992371079922;155.096400001639;"1";0;[];[];[];[];8.40539999990142;["1", "1"];[0, 0];0;0;0;0;55.819999997766;"1";0;[];[];[];[];[];[];54.1621000011219;"1";0;[];[];[];[];[];1.87109999751556
